c-1,c-2,c-3,c-4,c-5,c-6,c-7,c-8
rouge,2142,Pipit de Godlewski,8,,3.0163e+06,Sooty Copper,"'The Mark of Zorro', Johnston McCulley"
púrpura,2077,Malvasía Cabeciblanca,11,,2.89667e+06,Reakirt's Blue,"""There are no facts, only interpretations."", Friedrich Nietzsche"
Grünspan,2114,Pipit de Godlewski,8,,1.06592e+06,Arctic Skipper,"'The Exorcist', William Peter Blatty"
серый,2147,Pipit de Godlewski,8,Lion,3.54729e+06,Arctic Skipper,"'The Grapes of Wrath', John Steinbeck"
Red-violet,2118,Weißwangengans,8,Snow Leopard,1.4885e+06,"Faun, Green Comma","'The Godfather', Mario Puzo"
blutrot,2115,Malvasía Cabeciblanca,8,Cougar,1.95698e+06,"Icarioides Blue, Boisduval's Blue","'Watership Down', Richard Adams"
жёлтый,2035,Голубь,8,Asiatic Cheetah,1.80379e+06,"Orange Sulphur, Alfalfa Butterfly","""Roget's Thesaurus"", Peter Mark Roget"
violeta,2120,Purpurreiher,8,,2.20054e+06,Ringle,"'20,000 Leagues under the Sea', Jules Verne"
púrpura,2039,Weißwangengans,8,Asiatic Lion,2.11789e+06,Gray-Veined White,"'20,000 Leagues under the Sea', Jules Verne"
pechschwarz,2121,Weißwangengans,8,Clouded Leopard,3.98925e+06,Holly Blue,"'Shōgun', James Clavell"
schneeweiß,2144,Pica-pau-de-penacho,5,Asiatic Lion,2.01839e+06,"Icarioides Blue, Boisduval's Blue","""Moral indignation is jealousy with a halo."", H. G. Wells"
blanc,2147,Araqua-pintado,8,Leopard,2.33682e+06,Edith's Copper,"'A Tale of Two Cities', Charles Dickens"
jaune,2143,Воробей,8,Jaguar,1.12628e+06,"Orange Sulphur, Alfalfa Butterfly","'A Tale of Two Cities', Charles Dickens"
jaune,2080,Malvasía Cabeciblanca,8,,964036,Holly Blue,"'The Godfather', Mario Puzo"
紅梅色,2140,Macuco,7,Lion,2.23855e+06,Peacock Butterfly,"""Charlotte's Web"", E.B. White"
altrosa,2116,Marreca-cabocla,8,,275796,Red Admiral,"'The Grapes of Wrath', John Steinbeck"
Grünspan,2042,Tüpfelsumpfhuhn,5,,3.40596e+06,Red Admiral,"""There are no facts, only interpretations."", Friedrich Nietzsche"
blutrot,2131,Porrón Islándico,8,Clouded Leopard,3.74464e+06,Indra Swallowtail,"""There are no facts, only interpretations."", Friedrich Nietzsche"
暗紅色/暗赤色,2142,Puffin des Baléares,8,,1.02618e+06,"Faun, Green Comma","'The Hobbit', J.R.R. Tolkien"
jaune,2131,Орёл,8,Leopard,867735,Dainty Sulphur,"'The Hobbit', J.R.R. Tolkien"
rouge,2076,Орёл,8,Asiatic Lion,275847,Gulf Fritillary,"""If you are going through hell, keep going."", Sir Winston Churchill"
rouge,2117,Лебедь,1,Asiatic Lion,2.87162e+06,Pine White,"""Roget's Thesaurus"", Peter Mark Roget"
rouge,2062,Лебедь,8,,884128,Dainty Sulphur,"'The Godfather', Mario Puzo"
céruse,2128,Macreuse à bec jaune,8,Snow Leopard,406282,Sooty Copper,"""There are no facts, only interpretations."", Friedrich Nietzsche"
blutrot,2045,Tüpfelsumpfhuhn,8,Clouded Leopard,2.27236e+06,Gulf Fritillary,"'1984', George Orwell"
dorado,2079,Silbón Europeo,8,,520676,Edith's Copper,"""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
серый,2119,Puffin des Baléares,5,,1.18035e+06,"Orange Sulphur, Alfalfa Butterfly","'The Godfather', Mario Puzo"
Red-violet,2086,Weißwangengans,8,Cheetah,411180,"""Agricultural"" Melissa Blue","""Roget's Thesaurus"", Peter Mark Roget"
blutrot,2077,Weißwangengans,5,Cougar,2.97141e+06,Red Admiral,"'Shōgun', James Clavell"
pechschwarz,2050,Löffelente,4,Jaguar,142876,Sooty Copper,"""Roget's Thesaurus"", Peter Mark Roget"
серый,2033,Araqua-pintado,8,Snow Leopard,373495,Ringle,"'The Grapes of Wrath', John Steinbeck"
Orange-red,2074,Macuco,8,,3.36975e+06,"Faun, Green Comma","'The Mark of Zorro', Johnston McCulley"
schneeweiß,2121,Weißwangengans,5,,1.86395e+06,"Crown Fritillary, Coronis Fritillary","'The Mark of Zorro', Johnston McCulley"
Grünspan,2032,Лебедь,8,Leopard,2.51045e+06,Ringle,"'The Exorcist', William Peter Blatty"
schneeweiß,2133,Araqua-pintado,2,,1.75354e+06,Pine White,"'Jaws', Peter Benchley"
türkis,2085,Malvasía Cabeciblanca,8,Snow Leopard,3.11284e+06,Sooty Copper,"'The Hobbit', J.R.R. Tolkien"
pechschwarz,2114,Tüpfelsumpfhuhn,8,,1.08016e+06,"Blue Copper, ""Varied Blue""","""Roget's Thesaurus"", Peter Mark Roget"
濡れ羽色,2146,Purpurreiher,8,,633890,Behr's Hairstreak,"'The Odyssey', Homer"
schneeweiß,2114,Голубь,8,Amur Leopard,3.05989e+06,Edith's Copper,"'Shōgun', James Clavell"
墨色,2111,Macreuse à bec jaune,5,,2.7112e+06,"Crown Fritillary, Coronis Fritillary","'Shōgun', James Clavell"
blutrot,2133,Araqua-pintado,8,Cheetah,300686,Red Admiral,"""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
jaune,2089,Pipit de Godlewski,8,Cougar,144380,Behr's Hairstreak,"'The Godfather', Mario Puzo"
violeta,2069,Голубь,8,Clouded Leopard,1.15989e+06,Sandhill Skipper,"'The Mark of Zorro', Johnston McCulley"
rouge,2024,Araqua-pintado,8,,3.33776e+06,Arctic Skipper,"""Roget's Thesaurus"", Peter Mark Roget"
墨色,2087,Weißwangengans,5,,565908,"Blue Copper, ""Varied Blue""","""Where's Wally?"", Martin Handford"
jaune,2059,Macuco,8,,829119,Holly Blue,"""Glory is fleeting, but obscurity is forever."", Napoleon Bonaparte"
fumée,2149,Tüpfelsumpfhuhn,5,Asiatic Cheetah,1.0863e+06,Sooty Copper,"'The Exorcist', William Peter Blatty"
türkis,2136,Araqua-pintado,8,,364159,Ringle,"""There are no facts, only interpretations."", Friedrich Nietzsche"
violeta,2140,Puffin des Baléares,8,Lion,2.13203e+06,Behr's Hairstreak,"""Do, or do not. There is no 'try'."", Yoda"
kohlrabenschwarz,2099,Macreuse à bec jaune,8,Cougar,1.40004e+06,Dainty Sulphur,"""If you are going through hell, keep going."", Sir Winston Churchill"
marrón,2134,Purpurreiher,8,Asiatic Lion,1.53193e+06,Ringle,"'A Tale of Two Cities', Charles Dickens"
pechschwarz,2086,Pipit de Godlewski,8,,1.04864e+06,Pine White,"""Roget's Thesaurus"", Peter Mark Roget"
jaune,2076,Malvasía Cabeciblanca,1,,2.37286e+06,Gray-Veined White,"'The Mark of Zorro', Johnston McCulley"
fumée,2096,Macreuse à bec jaune,8,,1.07127e+06,Dainty Sulphur,"'Watership Down', Richard Adams"
красный,2038,Malvasía Cabeciblanca,8,Cougar,1.50921e+06,Ringle,"'Jaws', Peter Benchley"
暗紅色/暗赤色,2047,Pipit de Godlewski,8,Asiatic Lion,169878,Peacock Butterfly,"'The Godfather', Mario Puzo"
noir,2035,Puffin des Baléares,8,Clouded Leopard,2.89895e+06,Ringle,"'The Godfather', Mario Puzo"
jaune,2057,Weißwangengans,5,,557550,"""Verdi"" Sandhill Skipper","""There are no facts, only interpretations."", Friedrich Nietzsche"
Indigo,2088,Araqua-pintado,8,,879458,Holly Blue,"'The Mark of Zorro', Johnston McCulley"
暗紅色/暗赤色,2093,Puffin des Baléares,8,Asiatic Cheetah,384169,Behr's Hairstreak,"'The Grapes of Wrath', John Steinbeck"
blutrot,2125,Marreca-cabocla,8,Leopard,547793,Gulf Fritillary,"""Charlotte's Web"", E.B. White"
zitronengelb,2131,Weißwangengans,7,Amur Leopard,3.31017e+06,Ringle,"'The Mark of Zorro', Johnston McCulley"
türkis,2098,Pipit de Godlewski,8,Jaguar,2.61314e+06,Holly Blue,"'A Tale of Two Cities', Charles Dickens"
altrosa,2130,Purpurreiher,8,Leopard,2.63459e+06,Behr's Hairstreak,"""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
blutrot,2030,Pipit de Godlewski,8,,983527,Pine White,"""There are no facts, only interpretations."", Friedrich Nietzsche"
blutrot,2141,Araqua-pintado,8,,884580,Sooty Copper,"'Dune', Frank Herbert"
türkis,2074,Weißwangengans,8,Mountain Lion,291519,"Faun, Green Comma","""Where's Wally?"", Martin Handford"
zitronengelb,2062,Weißwangengans,8,Snow Leopard,4.45477e+06,Edith's Copper,"'Don Quixote', Miguel de Cervantes"
красный,2130,Silbón Europeo,8,,1.00341e+06,Ringle,"'Watership Down', Richard Adams"
blutrot,2117,Löffelente,8,,269890,Gulf Fritillary,"'Don Quixote', Miguel de Cervantes"
墨色,2047,Tüpfelsumpfhuhn,5,Clouded Leopard,1.44544e+06,"Faun, Green Comma","'Jaws', Peter Benchley"
紅梅色,2042,Орёл,8,Leopard,4.14537e+06,Pine White,"'Dune', Frank Herbert"
Grünspan,2101,Silbón Europeo,5,Asiatic Lion,973001,Gulf Fritillary,"'Dune', Frank Herbert"
濡れ羽色,2146,Araqua-pintado,8,Asiatic Cheetah,576041,Ringle,"""If you are going through hell, keep going."", Sir Winston Churchill"
ébène,2087,Weißwangengans,1,Leopard,319582,"""Agricultural"" Melissa Blue","""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
marrón,2068,Macreuse à bec jaune,7,,2.07478e+06,Mazarine Blue,"'Watership Down', Richard Adams"
noir,2128,Воробей,4,Snow Leopard,1.94083e+06,Edith's Copper,"'Catch-22', Joseph Heller"
marrón,2090,Macuco,8,,455892,Reakirt's Blue,"'The Mark of Zorro', Johnston McCulley"
Red-violet,2110,Araqua-pintado,8,,1.25358e+06,Gulf Fritillary,"'The Godfather', Mario Puzo"
黄枯茶,2029,Pipit de Godlewski,8,Jaguar,4.30647e+06,Ox-Eyed Satyr,"'The Godfather', Mario Puzo"
altrosa,2082,Löffelente,8,Cheetah,552688,Sooty Copper,"""Roget's Thesaurus"", Peter Mark Roget"
altrosa,2078,Malvasía Cabeciblanca,8,Leopard,2.42808e+06,Arctic Skipper,"'The Mark of Zorro', Johnston McCulley"
türkis,2130,Pipit de Godlewski,8,,1.04234e+06,Ringle,"""There are no facts, only interpretations."", Friedrich Nietzsche"
Red-violet,2127,Pipit de Godlewski,8,Asiatic Lion,165628,Sooty Copper,"'The Grapes of Wrath', John Steinbeck"
blutrot,2024,Silbón Europeo,8,,750730,Gray-Veined White,"'The Godfather', Mario Puzo"
marrón,2147,Голубь,8,Snow Leopard,2.90111e+06,Ox-Eyed Satyr,"'The Mark of Zorro', Johnston McCulley"
жёлтый,2140,Macreuse à bec jaune,8,Cheetah,2.40035e+06,Pine White,"'The Godfather', Mario Puzo"
jaune,2058,Silbón Europeo,8,Snow Leopard,1.23453e+06,Gray-Veined White,"""Do, or do not. There is no 'try'."", Yoda"
púrpura,2121,Pipit de Godlewski,8,,1.83681e+06,"Orange Sulphur, Alfalfa Butterfly","'The Grapes of Wrath', John Steinbeck"
rouge,2097,Araqua-pintado,8,,2.82732e+06,Pine White,"'The Grapes of Wrath', John Steinbeck"
schneeweiß,2089,Macuco,8,Leopard,3.42674e+06,Behr's Hairstreak,"""There are no facts, only interpretations."", Friedrich Nietzsche"
rouge,2137,Орёл,1,,159351,Gulf Fritillary,"'1984', George Orwell"
marrón,2033,Silbón Europeo,8,Lion,3.80443e+06,Purple Hairstreak,"'20,000 Leagues under the Sea', Jules Verne"
marrón,2099,Porrón Islándico,4,,1.18936e+06,"""Agricultural"" Melissa Blue","'Don Quixote', Miguel de Cervantes"
jaune,2142,Воробей,8,,1.30724e+06,"""Agricultural"" Melissa Blue","""Do, or do not. There is no 'try'."", Yoda"
blanc,2111,Araqua-pintado,8,,2.40292e+06,Holly Blue,"'1984', George Orwell"
schneeweiß,2139,Malvasía Cabeciblanca,11,Asiatic Cheetah,247665,Gulf Fritillary,"""Roget's Thesaurus"", Peter Mark Roget"
céruse,2039,Pipit de Godlewski,8,Clouded Leopard,3.76261e+06,Behr's Hairstreak,"""Moral indignation is jealousy with a halo."", H. G. Wells"
красный,2016,Лебедь,8,,839676,"Icarioides Blue, Boisduval's Blue","'Shōgun', James Clavell"
黄枯茶,2123,Weißwangengans,8,Asiatic Lion,4.18586e+06,"""Agricultural"" Melissa Blue","""There are no facts, only interpretations."", Friedrich Nietzsche"
pechschwarz,2102,Löffelente,8,,1.57169e+06,Holly Blue,"'Shōgun', James Clavell"
rouge,2038,Weißwangengans,8,Clouded Leopard,2.21121e+06,"Orange Sulphur, Alfalfa Butterfly","'20,000 Leagues under the Sea', Jules Verne"
café,2135,Голубь,8,Clouded Leopard,2.32322e+06,"Faun, Green Comma","'Jaws', Peter Benchley"
café,2144,Araqua-pintado,8,Mountain Lion,2.62597e+06,Ringle,"'Dune', Frank Herbert"
紅梅色,2102,Silbón Europeo,8,Lion,2.82879e+06,Sooty Copper,"""Roget's Thesaurus"", Peter Mark Roget"
pechschwarz,2074,Голубь,4,Mountain Lion,296200,"""Verdi"" Sandhill Skipper","""Charlotte's Web"", E.B. White"
schneeweiß,2087,Macuco,8,Mountain Lion,2.27053e+06,"""Verdi"" Sandhill Skipper","'A Tale of Two Cities', Charles Dickens"
noir,2062,Silbón Europeo,8,,1.9378e+06,Gray-Veined White,"'The Mark of Zorro', Johnston McCulley"
rouge,2073,Purpurreiher,8,Cheetah,1.36437e+06,"Icarioides Blue, Boisduval's Blue","""Where's Wally?"", Martin Handford"
café,2127,Голубь,4,Jaguar,1.97388e+06,"Icarioides Blue, Boisduval's Blue","""Charlotte's Web"", E.B. White"
